id,title,author,book_page_url,image_url
83,His Only Son,Leopoldo Alas,https://www.nyrb.com/collections/classics/products/his-only-son,https://cdn.shopify.com/s/files/1/0726/9203/products/9781681370187_large.jpg?v=1528394270
84,The End of the Hunt,Thomas Flanagan,https://www.nyrb.com/collections/classics/products/the-end-of-the-hunt,https://cdn.shopify.com/s/files/1/0726/9203/products/The_End_of_the_Hunt_large.jpg?v=1528394270
85,The Tenants of Time,Thomas Flanagan,https://www.nyrb.com/collections/classics/products/the-tenants-of-time,https://cdn.shopify.com/s/files/1/0726/9203/products/Flanagan_Tenants_of_Time_large.jpg?v=1528394270
86,Caught,Henry Green,https://www.nyrb.com/collections/classics/products/caught,https://cdn.shopify.com/s/files/1/0726/9203/products/Green_Caught_large.jpg?v=1528394271
87,Loving,Henry Green,https://www.nyrb.com/collections/classics/products/loving,https://cdn.shopify.com/s/files/1/0726/9203/products/Green_Loving_large.jpg?v=1528394271
88,"Girlfriends, Ghosts, and Other Stories",Robert Walser,https://www.nyrb.com/collections/classics/products/girlfriends-ghosts-and-other-stories,https://cdn.shopify.com/s/files/1/0726/9203/products/walser.1_hi-res_large.jpg?v=1528394271
89,"Slow Days, Fast Company",Eve Babitz,https://www.nyrb.com/collections/classics/products/slow-days-fast-company,https://cdn.shopify.com/s/files/1/0726/9203/products/babitz.Slow_Days_hi-res_large.jpg?v=1528394272
90,The Invisibility Cloak,Ge Fei,https://www.nyrb.com/collections/classics/products/the-invisibility-cloak,https://cdn.shopify.com/s/files/1/0726/9203/products/15_Invisibility_Cloak_large.jpg?v=1528394272
91,"Tolstoy, Rasputin, Others, and Me",Teffi,https://www.nyrb.com/collections/classics/products/tolstoy-rasputin-others-me-best-of-teffi,https://cdn.shopify.com/s/files/1/0726/9203/products/Tolstoy_Rasputin_Others_and_Me_large.jpg?v=1528394272
92,Bright Magic,Alfred Döblin,https://www.nyrb.com/collections/classics/products/bright-magic,https://cdn.shopify.com/s/files/1/0726/9203/products/Bright_Magic_large.jpg?v=1528394273
93,The Continuous Katherine Mortenhoe,D. G. Compton,https://www.nyrb.com/collections/classics/products/the-continuous-katherine-mortenhoe,https://cdn.shopify.com/s/files/1/0726/9203/products/compton.hilliard_large.jpeg?v=1528394273
94,A Visit to Don Otavio,Sybille Bedford,https://www.nyrb.com/collections/classics/products/a-visit-to-don-otavio,https://cdn.shopify.com/s/files/1/0726/9203/products/20_Visit_to_Don_Ottavio_Bedford_large.jpeg?v=1528394273
95,Grand Hotel,Vicki Baum,https://www.nyrb.com/collections/classics/products/grand-hotel,https://cdn.shopify.com/s/files/1/0726/9203/products/Grand_Hotel_large.jpg?v=1528394274
96,The Glory of the Empire,Jean d'Ormesson,https://www.nyrb.com/collections/classics/products/the-glory-of-the-empire,https://cdn.shopify.com/s/files/1/0726/9203/products/17_Glory_of_the_Empire_d_Ormesson_large.jpeg?v=1528394274
