openrefine_author_name,lat,long
John Wyndham,51.507222,-0.1275
Elizabeth David,51.507222,-0.1275
Jakov Lind,51.507222,-0.1275
Arthur Machen,51.507222,-0.1275
Elizabeth Bowen,51.507222,-0.1275
J. R. Ackerley,51.507222,-0.1275
Kingsley Amis,51.507222,-0.1275
Ivy Compton-Burnett,51.507222,-0.1275
John Armstrong,51.512,-0.123456
John Wolcot,51.53096944,-0.1314972222
Georg Christoph Lichtenberg,51.53388889,9.935555556
W.W. Jacobs,51.544,-0.1027
Leo Myers,51.566667,-0.766667
David Jones,51.5836,-0.3464
G. K. Chesterton,51.60087222,-0.6346805556
Charles Lamb,51.6154,-0.0708
J. G. Farrell,51.65,-9.71666667
Richard Cobb,51.66694444,-1.282777778
Sydney Thompson Dobell,51.6954,-2.2234
Alistair Horne,51.75,-1.28
"Thomas Wharton, 1st Marquess of Wharton",51.751944,-1.257778
Robert Bridges,51.75194444,-1.257777778
Thomas Warton,51.75194444,-1.257777778
Nirad C. Chaudhuri,51.75194444,-1.257777778
Robert Burton,51.75194444,-1.257777778
May Sinclair,51.76666667,-0.8
Elizabeth Taylor,51.76666667,-0.8
J. A. Baker,51.7978,0.6373
Edward Young,51.831,-0.215
"John Wilmot, 2nd Earl of Rochester",51.845,-1.354
A. J. A. Symons,51.888611,0.903611
Richard Blackmore,51.9628,0.9028
Charles Duff,51.9759,1.016761111
W. F. Harvey,51.978,-0.23
Philip Sidney,51.98333333,5.916666667
Patrick Leigh Fermor,52.0224,-1.97809
Geoffrey Household,52.06138889,-1.339166667
Maria Dermoût,52.08416667,4.3175
Matthew Prior,52.14,-0.046
William Shakespeare,52.19,-1.71
Alfred Edward Housman,52.20805556,0.1225
Moses I. Finley,52.20805556,0.1225
Henry Kirke White,52.20805556,0.1225
Miron Białoszewski,52.21666667,21.03333333
Bolesław Prus,52.21666667,21.03333333
Nescio,52.23,5.18
Angus Wilson,52.246667,0.7125
"Fulke Greville, 1st Baron Brooke",52.28,-1.59
J. L. Carr,52.4,-0.7333333333
E. M. Forster,52.41666667,-1.516666667
Gillian Rose,52.41666667,-1.516666667
William Shenstone,52.45016389,-2.050936111
Wolfgang Herrndorf,52.51666667,13.38333333
Jacob Grimm,52.51666667,13.38333333
Ludwig Tieck,52.51666667,13.38333333
Wilhelm Grimm,52.51666667,13.38333333
Theodor Fontane,52.51666667,13.38333333
Anna Seghers,52.51861111,13.40444444
Bertolt Brecht,52.5289,13.3847
Barbara Comyns Carr,52.61666667,-2.716666667
Richard Corbet,52.628056,1.299167
Thomas Browne,52.628056,1.299167
George Gascoigne,52.633,-0.407
Richard Hughes,52.86043889,-4.105488889
Patrick Hamilton,52.93333333,1.216666667
Erasmus Darwin,52.954,-1.45
Samuel Daniel,53,-1
