openrefine_author_name,lat,long
Katherine Anne Porter,31.5225,-98.9797
Leo Tolstoy,54.075127,37.526385
"Louis de Rouvroy, duc de Saint-Simon",48.85657778,2.351827778
Ludwig Tieck,52.51666667,13.38333333
Peter Matthew Hillsman Taylor,35.97361111,-88.94166667
Robert Frost,37.766667,-122.433333
Wilhelm Grimm,50.13333333,8.916666667
Zhuangzi,35,105
Albert Cossery,30.05611111,31.23944444
David Mendel,51.553,0.093
Aeschylus,38.041389,23.545278
Jean Genet,48.85657778,2.351827778
Alexander Berkman,54.68333333,25.28333333
Paul Radin,51.77694444,19.45472222
Jessica Mitford,51.75,-1.28
Gilbert Highet,55.87,-4.27
Du Fu,34.75128,112.98541
Du Mu,34.26666667,108.9
Han Yu,32.99871,112.52921
Li He,28.58333333,112.3333333
Li Shangyin,35,105
Lu T'ung,37.10828,79.93388
Meng Jiao,37.36888889,128.3902778
Dino Buzzati,46.14083056,12.21556111
Renata Adler,45.464161,9.190336
Carlo Collodi,43.77138889,11.25416667
David Kidd,36.94166667,-84.09555556
Murray Kempton,39.28638889,-76.615
Mavis Gallant,45.50888889,-73.56166667
Richard Cobb,51.8327,1.2452
Edmond de Goncourt,48.69277778,6.183611111
Jules de Goncourt,48.85657778,2.351827778
Eliza Fay,51.4989,-0.0426
Katharine Sergeant Angell White,42.45222222,-71.1375
Malcolm Braly,45.51666667,-122.6666667
Simone Weil,48.85657778,2.351827778
Félix Fénéon,45.06666667,7.7
Dominique Vivant,46.78111111,4.853888889
Tibor Déry,47.49833333,19.04083333
Harvey Swados,42.90472222,-78.84944444
William Lindsay Gresham,39.28638889,-76.615
Jules Renard,48.16333333,-0.6433333333
George R. Stewart,40.47,-79.98
Théophile Gautier,43.23277778,0.07444444444
Alfred Hayes,51.507222,-0.1275
Aleksander Wat,52.21666667,21.03333333
Nina Berberova,59.95,30.31666667
Georges Bernanos,48.85657778,2.351827778
Blaise Cendrars,47.09962778,6.829558333
Céleste Albaret,44.43277778,3.214722222
Henri Michaux,50.46666667,4.866666667
Daniel Paul Schreber,51.33333333,12.38333333
John Glassco,45.50888889,-73.56166667
Edmund Wilson,40.3487,-74.0665
James McCourt,40.67,-73.94
Dwight Macdonald,40.67,-73.94
May Sinclair,53.373,-3.008
Gillian Rose,51.507222,-0.1275
Eileen Chang,31.16666667,121.4666667
"Astolphe-Louis-Léonor de Custine, Marquis de Custine",48.71277778,7.108055556
Marina Tsvetaeva,55.75583333,37.61777778
Rainer Maria Rilke,50.08861111,14.42138889
Qiu Miaojin,23.93333333,120.5333333
Curzio Malaparte,43.88081389,11.09656111
Antal Szerb,47.49833333,19.04083333
Arun Kolatkar,16.7,74.23333333
Theodor Fontane,52.92222222,12.8
William Dean Howells,40.02,-80.99
William H. Gass,46.87722222,-96.78944444
Janet Malcolm,50.08861111,14.42138889
David Jones,51.4529,-0.0345
J. R. Ackerley,51.507222,-0.1275
Emmanuel Bove,48.85657778,2.351827778
Don Carpenter,37.87027778,-122.2680556
Frederick Rolfe,51.507222,-0.1275
Paul Goodman,40.73361111,-74.00166667
Euripides,37.96555556,23.49305556
Erich Kästner,51.04925833,13.73836111
Nancy Mitford,51.507222,-0.1275
Olivia Manning,50.79527778,-1.088888889
Francis Steegmuller,41.30833333,-72.925
Sara Josephine Baker,41.70527778,-73.93055556
Gabriel Chevallier,45.75888889,4.841388889
Jean-Patrick Manchette,43.29666667,5.376388889
John Collier,51.507222,-0.1275
Leonardo Sciascia,37.40833333,13.73472222
Yury Olesha,48.51027778,32.26666667
Upamanyu Chatterjee,25.61,85.14138889
Joan Chase,40.8092,-81.9372
Daphne du Maurier,51.507222,-0.1275
Charles Simic,44.81666667,20.46666667
Fritz Reck-Malleczewen,53.86711,20.70279
"Philippe Paul, comte de Ségur",48.85657778,2.351827778
Kingsley Amis,51.46,-0.14
Nikolai Gogol,50.02530458,33.94765459
Erich Auerbach,52.51666667,13.38333333
Raymond Radiguet,48.8025,2.485555556
Lady Caroline Blackwood,51.5,-0.08333333333
Sanford Friedman,40.67,-73.94
Jan Morris,51.3,-3
Victor Serge,50.84666667,4.3532
William Roughead,55.95,-3.198888889
Kenneth Fearing,41.88333333,-87.8
Gabriel García Márquez,10.59111111,-74.185
Henry de Montherlant,48.85657778,2.351827778
Dorothy Baker,46.8625,-114.0116667
Margot Wittkower,52.51666667,13.38333333
Rudolf Wittkower,52.51666667,13.38333333
William Attaway,33.3986,-91.0483
Geoffrey Wolff,34.1,-118.3333333
Stefan Zweig,48.20833,16.373064
Howard Sturgis,51.507222,-0.1275
Intizar Hussain,28.22,78.25
John Edward Williams,33.6111,-95.0525
Adolfo Bioy Casares,-34.59972222,-58.38194444
Italo Svevo,45.63611111,13.80416667
Angus Wilson,50.85,0.47
Tété-Michel Kpomassie,8.25,1.183333
Nescio,52.38333333,4.9
Constance Rourke,40.5,-82.5
G. V. Desani,1.283333333,36.81666667
Jean Strouse,unknown,
James Schuyler,41.88194444,-87.62777778
Ronald Blythe,52.07071111,0.7610194444
Alberto Moravia,41.89305556,12.48277778
Iris Owens,40.69277778,-73.99027778
Guy de Maupassant,49.92166667,1.077777778
Georges Simenon,50.64528,5.57568
Darcy O'Brien,34.05,-118.25
Sasha Sokolov,45.41666667,-75.7
Alistair Horne,51.507222,-0.1275
Marcellus Emants,52.06666667,4.366666667
J. L. Carr,54.23273056,-1.34205
L. J. Davis,47.6,-122.3166667
Frigyes Karinthy,47.49833333,19.04083333
Ivy Compton-Burnett,51.507222,-0.1275
Charles Duff,54.345306,-7.634061
Elizabeth Taylor,51.45416667,-0.9730555556
Natalia Ginzburg,38.115658,13.361262
