book_id,author
498,Darcy O'Brien
499,Elizabeth Taylor
500,Patrick Leigh Fermor
501,Patrick Leigh Fermor
502,Robert Walser
503,Sasha Sokolov
504,Alistair Horne
505,Marcellus Emants
506,J. L. Carr
507,L. J. Davis
508,Sybille Bedford
509,Frigyes Karinthy
510,Ivy Compton-Burnett
511,Richard Hughes
512,Charles Duff
513,Elizabeth Taylor
514,Natalia Ginzburg
515,Elizabeth David
